fp .fem-pilots-light-526.png
 	Label 	 Score
2	Cloud 	 89.88218903541565 
3	Airplane 	 86.44317388534546 
4	Vehicle 	 85.85396409034729 
5	Gesture 	 85.2604866027832 
6	Aerospace manufacturer 	 83.47406387329102 
7	Aviation 	 82.07825422286987 
8	Wing 	 76.14524364471436 
9	Military aircraft 	 75.75452923774719 
	Object 	 Score
0	Person 	 93.13820600509644 
1	Person 	 92.04996824264526 
2	Person 	 91.52727723121643 
3	Person 	 90.91305732727051 
4	Person 	 56.491947174072266 


fp .fem-pilots-light-457.jpg
 	Label 	 Score
0	Helmet 	 96.52257561683655 
1	Sports gear 	 92.2771692276001 
2	Sleeve 	 82.6120376586914 
3	Personal protective equipment 	 76.79274678230286 
4	Recreation 	 65.35725593566895 
5	Fashion accessory 	 64.43485021591187 
6	Sports equipment 	 61.99467182159424 
7	Fun 	 53.85890603065491 
8	Uniform 	 52.799928188323975 
9	Armour 	 52.74178385734558 
	Object 	 Score
0	Helmet 	 91.1852240562439 
1	Person 	 82.7632188796997 


fp .fem-pilots-light-456.jpg
 	Label 	 Score
0	Vehicle 	 88.77736330032349 
1	Smile 	 88.31525444984436 
2	Train 	 86.66712641716003 
3	Motor vehicle 	 83.57977867126465 
4	Travel 	 74.12608861923218 
5	Engineering 	 71.11575603485107 
6	Flight instruments 	 70.3204870223999 
7	Collar 	 67.46065020561218 
8	Aircraft 	 66.39434099197388 
9	Auto part 	 64.28669691085815 
	Object 	 Score
0	Hat 	 83.5985779762268 
1	Person 	 82.44988322257996 
2	Outerwear 	 57.38821029663086 


fp .fem-pilots-light-455.jpg
 	Label 	 Score
0	Vehicle 	 92.47586727142334 
1	Air travel 	 83.52116346359253 
2	Watch 	 80.07693290710449 
3	Travel 	 79.54887747764587 
4	Aircraft 	 75.42145848274231 
5	Motor vehicle 	 75.27986764907837 
6	Airline 	 72.5398600101471 
7	Cockpit 	 71.40470147132874 
8	Aerospace engineering 	 69.63090896606445 
9	Airplane 	 69.41681504249573 
	Object 	 Score
0	Person 	 87.33236789703369 


fp .fem-pilots-light-459.jpg
 	Label 	 Score
0	Smile 	 95.56816816329956 
1	Shirt 	 94.49780583381653 
2	Suit trousers 	 91.77544713020325 
3	Vehicle 	 91.17172360420227 
4	Aircraft 	 88.81120681762695 
5	Sleeve 	 86.92126870155334 
6	Gesture 	 85.26044487953186 
7	Tie 	 85.24903059005737 
8	Dress shirt 	 84.59591865539551 
9	Collar 	 83.68955850601196 
	Object 	 Score
0	Person 	 88.2710337638855 
1	Person 	 87.5249445438385 
2	Person 	 87.25272417068481 
3	Tie 	 64.23213481903076 
4	Shirt 	 59.95492339134216 
5	Pants 	 50.8813202381134 
6	Pants 	 50.58770179748535 


fp .fem-pilots-light-550.png
 	Label 	 Score
0	Smile 	 97.82878160476685 
1	Product 	 90.80041646957397 
2	World 	 90.73697328567505 
3	Human 	 88.92579674720764 
4	Coat 	 88.58053088188171 
5	Tie 	 83.44224095344543 
6	Suit 	 81.82751536369324 
7	Event 	 74.5293140411377 
8	Electric blue 	 72.31297492980957 
9	Team 	 72.17723727226257 
	Object 	 Score
0	Person 	 89.96977806091309 
1	Person 	 89.433753490448 
2	Person 	 88.83240818977356 
3	Person 	 87.89149522781372 
4	Person 	 85.7986569404602 
5	Person 	 83.26584100723267 
6	Person 	 82.56965279579163 
7	Person 	 82.21462368965149 
8	Person 	 81.41010403633118 
9	Person 	 59.92376208305359 


fp .fem-pilots-light-502.png
 	Label 	 Score
0	Smile 	 94.73481178283691 
1	Gesture 	 85.2604866027832 
2	Happy 	 81.46304488182068 
3	Travel 	 77.53344774246216 
4	Electric blue 	 69.61820125579834 
5	T-shirt 	 63.28924894332886 
6	Fish 	 58.87265205383301 
7	Aerospace engineering 	 56.128400564193726 
8	Air travel 	 55.27815818786621 
9	Uniform 	 53.87800335884094 
	Object 	 Score
0	Person 	 86.4152193069458 
1	Person 	 78.2541573047638 
2	Clothing 	 72.48207926750183 
3	Person 	 66.50119423866272 
4	Clothing 	 54.290252923965454 


fp .fem-pilots-light-511.jpg
 	Label 	 Score
0	Smile 	 95.41181325912476 
1	Motor vehicle 	 86.3832414150238 
2	Automotive design 	 83.1731915473938 
3	Automotive tire 	 73.95350337028503 
4	Event 	 70.84632515907288 
5	Personal luxury car 	 70.21227478981018 
6	T-shirt 	 69.32101249694824 
7	Vehicle door 	 67.33583807945251 
8	Automotive exterior 	 64.22171592712402 
9	Luxury vehicle 	 61.79802417755127 
	Object 	 Score
0	Person 	 90.00370502471924 
1	Clothing 	 66.72394275665283 
2	Person 	 62.62153387069702 
3	Luggage & bags 	 61.41595244407654 
4	Packaged goods 	 55.21450638771057 


fp .fem-pilots-light-510.jpg
 	Label 	 Score
0	Smile 	 94.88638043403625 
1	Hat 	 90.97985625267029 
2	Tie 	 88.65334391593933 
3	Dress shirt 	 88.39027881622314 
4	Sleeve 	 87.24374771118164 
5	Gesture 	 85.260409116745 
6	Cap 	 84.52655076980591 
7	Collar 	 84.11309719085693 
8	Headgear 	 82.25160837173462 
9	Blazer 	 78.26517820358276 
	Object 	 Score
0	Hat 	 93.19232106208801 
1	Tie 	 87.76865005493164 
2	Person 	 84.89546179771423 
3	Coat 	 55.08965849876404 


fp .fem-pilots-light-509.jpg
 	Label 	 Score
0	Smile 	 98.406982421875 
1	Facial expression 	 93.30830574035645 
2	Human 	 89.81850147247314 
3	Hat 	 81.12202286720276 
4	Travel 	 80.57653307914734 
5	Fun 	 79.10540103912354 
6	Youth 	 75.04433393478394 
7	Team 	 75.01090168952942 
8	Event 	 74.76534247398376 
9	School uniform 	 73.79642724990845 
	Object 	 Score
0	Person 	 84.06532406806946 
1	Person 	 82.15724229812622 
2	Person 	 81.38108253479004 
3	Person 	 80.98799586296082 
4	Person 	 80.45984506607056 
5	Person 	 78.88602018356323 
6	Clothing 	 75.04486441612244 
7	Clothing 	 71.04362845420837 
8	Clothing 	 70.2248752117157 
9	Clothing 	 69.5217490196228 


fp .fem-pilots-light-503.jpg
 	Label 	 Score
0	Sky 	 97.18305468559265 
1	Smile 	 96.21641039848328 
2	Vehicle 	 92.37885475158691 
3	Aircraft 	 90.100759267807 
4	Airplane 	 88.698810338974 
5	Aviation 	 85.49497723579407 
6	Travel 	 84.80162620544434 
7	Air travel 	 84.60516333580017 
8	Aerospace manufacturer 	 84.1609001159668 
9	Tire 	 81.56822323799133 
	Object 	 Score
0	Person 	 90.69395065307617 
1	Airplane 	 87.2291088104248 
2	Top 	 73.99765253067017 
3	Bus 	 51.1125922203064 


fp .fem-pilots-light-506.jpg
 	Label 	 Score
0	Smile 	 98.58375191688538 
1	Shirt 	 94.44268345832825 
2	Product 	 90.78169465065002 
3	Hat 	 85.4670524597168 
4	Yellow 	 85.16314029693604 
5	Social group 	 82.85487294197083 
6	Fan 	 81.00385665893555 
7	Community 	 80.91339468955994 
8	People 	 77.70150899887085 
9	T-shirt 	 77.39828824996948 
	Object 	 Score
0	Person 	 83.56273770332336 
1	Person 	 82.95184373855591 
2	Person 	 82.93493390083313 
3	Person 	 81.86672329902649 
4	Person 	 80.71286082267761 
5	Clothing 	 71.66683077812195 
6	Hat 	 71.24479413032532 
7	Person 	 69.70515847206116 
8	Clothing 	 69.67492699623108 
9	Clothing 	 69.23710703849792 


fp .fem-pilots-light-507.jpg
 	Label 	 Score
0	Vehicle 	 93.95387768745422 
1	Flight instruments 	 89.2105758190155 
2	Cockpit 	 83.8808000087738 
3	Air travel 	 82.24853873252869 
4	Aviation 	 79.07139658927917 
5	Aircraft 	 78.52939963340759 
6	Travel 	 78.50216627120972 
7	Aerospace manufacturer 	 77.397620677948 
8	Smile 	 76.62120461463928 
9	Airliner 	 72.1171498298645 
	Object 	 Score
0	Person 	 90.24794697761536 
1	Clothing 	 67.29951500892639 
2	Top 	 55.813610553741455 
3	Top 	 52.823442220687866 


