ffa .fem-flight-attendants-light-168.jpg
 	Label 	 Score
7	White-collar worker 	 71.93702459335327 
8	Fashion design 	 71.32494449615479 
9	Advertising 	 70.89698314666748 
	Object 	 Score
0	Person 	 89.88466262817383 
1	Food 	 68.54971051216125 
2	Outerwear 	 65.84777235984802 
3	Person 	 58.35220217704773 
4	Bowtie 	 58.27410817146301 


ffa .fem-flight-attendants-light-155.jpg
 	Label 	 Score
0	Aircraft cabin 	 86.65273189544678 
1	Airplane 	 85.09891033172607 
2	Air travel 	 84.09083485603333 
3	Automotive design 	 81.50038123130798 
4	Passenger 	 79.73834276199341 
5	Travel 	 78.35849523544312 
6	Vehicle 	 76.7299234867096 
7	Airliner 	 75.39334893226624 
8	Airline 	 73.48437905311584 
9	Aerospace manufacturer 	 73.31048250198364 
	Object 	 Score
0	Person 	 89.70886468887329 
1	Outerwear 	 85.02457737922668 
2	Person 	 84.35450792312622 
3	Coat 	 81.09962940216064 
4	Hat 	 79.81940507888794 
5	Hat 	 74.07943606376648 


ffa .fem-flight-attendants-light-528.jpg
 	Label 	 Score
0	Shirt 	 93.83493661880493 
1	Microphone 	 93.12464594841003 
2	Air travel 	 75.44461488723755 
3	Event 	 74.79389309883118 
4	Curtain 	 73.33378195762634 
5	Couch 	 72.43974208831787 
6	Job 	 68.4100329875946 
7	Chair 	 67.8267240524292 
8	Conversation 	 66.86782240867615 
9	T-shirt 	 65.7800018787384 
	Object 	 Score
0	Person 	 86.99164986610413 
1	Person 	 86.47985458374023 
2	Person 	 84.54854488372803 
3	Person 	 84.35538411140442 
4	Person 	 79.83799576759338 
5	Person 	 78.90809774398804 
6	Person 	 75.47661066055298 
7	Clothing 	 71.80832028388977 
8	Clothing 	 69.57756280899048 
9	Clothing 	 67.19204783439636 


ffa .fem-flight-attendants-light-110.jpg
 	Label 	 Score
0	Smile 	 95.39151787757874 
1	Fashion 	 88.34466338157654 
2	Comfort 	 88.32730650901794 
3	Automotive design 	 87.91368007659912 
4	Vehicle 	 86.39532327651978 
5	Mode of transport 	 84.6880555152893 
6	Air travel 	 84.40089225769043 
7	Travel 	 82.90848731994629 
8	Aircraft cabin 	 80.08089065551758 
9	Airplane 	 79.72843050956726 
	Object 	 Score
0	Dress 	 85.82540154457092 
1	Person 	 85.57038903236389 
2	Person 	 85.44005751609802 
3	Tie 	 83.38250517845154 
4	Person 	 81.79372549057007 
5	Person 	 80.53508400917053 
6	Person 	 80.14852404594421 
7	Person 	 79.34773564338684 
8	Person 	 75.57858228683472 
9	Pants 	 74.16837811470032 


ffa .fem-flight-attendants-light-156.jpg
 	Label 	 Score
0	Smile 	 97.84008860588074 
1	Lip 	 97.04306125640869 
2	Eyebrow 	 94.88945007324219 
3	Lipstick 	 94.60197687149048 
4	Neck 	 88.97100687026978 
5	Flash photography 	 87.74178624153137 
6	Eyelash 	 87.57452964782715 
7	Sleeve 	 87.19363212585449 
8	Gesture 	 85.2604866027832 
9	Collar 	 83.69876742362976 
	Object 	 Score
0	Scarf 	 95.08292078971863 
1	Person 	 91.05432629585266 
2	Outerwear 	 70.75209617614746 


ffa .fem-flight-attendants-light-208.jpg
 	Label 	 Score
0	Automotive design 	 87.36613392829895 
1	Air travel 	 78.91672253608704 
2	Service 	 76.24907493591309 
